"Timestamp","Año de nacimiento","Género","¿Cuántos hermanos tienes?","Orden de nacimiento","Durante la mayor parte de tu infancia, ¿cuál era la situación de tu familia?","¿A qué edad tuvo tu MADRE su primer hijo/a?","¿A qué edad tuvo tu PADRE su primer hijo/a?","¿Cuál es el nivel de estudios máximo obtenido por tu madre?","¿Cuál es el nivel de estudios máximo obtenido por tu padre?","¿Qué tipo de educación recibió tu madre?","¿Qué tipo de educación recibió tu padre?","¿Cuál era la profesion principal de tu madre?","¿Cuál era la profesion principal de tu padre?","¿Cuántas personas trabajaban en tu hogar a tiempo completo?","¿Cuántas personas trabajaban en tu hogar a tiempo parcial?","¿En qué categoría clasificarías la situación económica de tu familia durante tu infancia?","¿Cuál era la situación de tu familia en cuanto a vivienda?","Indica el código postal (o códigos postales) de tu casa durante tu infancia.","¿A qué edad empezaste a trabajar?","¿Has terminado de estudiar?","Si has terminado de estudiar, ¿cuál es tu grado máximo de estudios?","Si no has terminado de estudiar, ¿qué tipo de estudios estás cursando ahora mismo?","¿Has cursado otras modalidades de bachillerato?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio público?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio concertado religioso?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio concertado laico?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio privado religioso?","Entre 1º de primaria y 2º de bachillerato o grado medio, ¿cuántos cursos estudiaste en un colegio privado laico?","Durante tu educación primaria y secundaria, ¿recibiste alguna de las siguientes?","¿Practicabas algún deporte de manera extraescolar?","¿Has hecho selectividad?","Si hiciste la selectividad en 2009 o antes, ¿cuál fue tu nota?","Si hiciste la selectividade en 2010 o en adelante, ¿cuál fue tu nota?","Si accediste a la universidad, ¿a qué titulación?","¿Accediste a la universidad el primer año que solicitaste?","Si no accediste a la primera, ¿cuántas veces solicitaste la entrada?","¿Fue tu primera opción?","Si no fue tu primera opción, ¿cuál fue?"
"2019/01/14 12:46:20 PM GMT+1","1979","Mujer","4","1","Padres divorciados y los dos con otras parejas.","19","23","Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","administrativa","operario","1","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08197","25","No","Máster Universitario","Doctorado","No","10","0","2","0","0","Clases de refuerzo","No","Sí","6,5 - 7","","Licenciatura Biología","Sí","","Sí",""
"2019/01/14 12:55:17 PM GMT+1","1986","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","28","33","Bachillerato o Curso de Orientación Universitaria (COU)","Máster universitario","Privada religiosa","Privada religiosa","Ama de casa","Médico ","2","0","El dinero no era un factor limitante (casas de veraneo, varios coches, etc.).","Propiedad","08172","22","Sí","Doctorado","","No","0","0","0","12","0","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","5,5 - 6","","Psicología ","Sí","","Sí",""
"2019/01/14 12:59:29 PM GMT+1","1997","Mujer","1","Soy la mayor.","Padres conviviendo como pareja, casados o pareja de hecho.","32","32","Grado universitario, licenciatura o ingeniería superior","Máster universitario","Concertada religiosa","Concertada religiosa","Abogada","Ingeniero","2","1","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad de protección oficial","08172","21","Sí","Ciclo formativo de grado superior (FP)","Ciclo formativo de grado medio (FP)","No","1","8","0","0","2","Ninguna","No","No","","","","","","","Octava"
"2019/01/14 1:05:13 PM GMT+1","1984","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","22","38","Ciclo formativo de grado medio (FP)","Ciclo formativo de grado medio (FP)","Pública","Pública","Costura","Deliniante","1","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08191","17","No","Grado universitario,  licenciatura o ingeniería técnica","Máster Universitario","No","4","0","0","0","0","Ninguna","Si","Sí","6 - 6,5","","Historia Arte","Sí","","Sí",""
"2019/01/14 1:05:15 PM GMT+1","1978","Mujer","0","1","Padre o madre viudo/a, sin pareja.","27","33","Ciclo formativo de grado superior (FP)","Grado universitario, licenciatura o ingeniería superior","Concertada religiosa","Concertada religiosa","Ama de casa","Empleado de banca","1","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08197","20","Sí","Máster Universitario","","Si","0","0","0","0","12","Clases de refuerzo;Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","No","Sí","6,5 - 7","","Licenciatura en Traducción e Interpretación","Sí","","Sí",""
"2019/01/14 1:16:03 PM GMT+1","1964","Mujer","2","2","Padres conviviendo como pareja, casados o pareja de hecho.","31","32","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Educación Primaria o Educación General Básica (EGB)","Privada religiosa","Pública","Funcionària ayuntamiento","Paleta","2","1","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08197","18","Sí","Ciclo formativo de grado superior (FP)","","Si","10","0","0","2","0","Ninguna","No","No","","","","","","","Octava"
"2019/01/14 1:25:42 PM GMT+1","1979","Mujer","1","1","Padres conviviendo como pareja, casados o pareja de hecho.","27","26","Educación Secundaria Obligatoria (ESO) o Bachillerato Unificado Polivalente (BUP)","Ciclo formativo de grado superior (FP)","Concertada religiosa","Concertada religiosa","En un banco","Decorador","1","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08191","16","Sí","Ciclo formativo de grado superior (FP)","","No","4","11","0","0","0","Clases de refuerzo","No","No","","","","","","","Segunda"
"2019/01/14 1:26:11 PM GMT+1","1969","Mujer","4","1","Padres conviviendo como pareja, casados o pareja de hecho.","25","25","Bachillerato o Curso de Orientación Universitaria (COU)","Máster universitario","Privada religiosa","Concertada religiosa","Ama de casa","Economista/gestor","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08021","19","Sí","Grado universitario,  licenciatura o ingeniería técnica","","No","0","12","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","No","Sí","5,5 - 6","","Filologia Inglesa","Sí","","No","Segunda"
"2019/01/14 1:33:14 PM GMT+1","1974","Mujer","2","1","Padres conviviendo como pareja, casados o pareja de hecho.","30","33","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Ama de casa","Tornero","1","0","Nos podíamos permitir lujos ocasionales (como salir a comer de vez en cuando).","Propiedad","08035","19","Sí","Diplomatura o ingeniería técnica","","No","10","0","0","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","Sí","7 - 7,5","","Magisterio","Sí","","Sí",""
"2019/01/14 1:33:50 PM GMT+1","1987","Mujer","0","1","Padres conviviendo como pareja, casados o pareja de hecho.","30","35","No terminó la Educación Primaria o Educación General Básica (EGB)","Educación Primaria o Educación General Básica (EGB)","Pública","Pública","Mujer de la limpieza","Planchista","2","0","Nos podíamos permitir lujos de manera habitual (como ir de vacaciones cada año).","Propiedad","08190","16","Sí","Ciclo formativo de grado superior (FP)","","No","0","0","2","0","0","Clases extracurriculares (por ejemplo: academias de idiomas, kumon, etc.)","Si","No","","","","","","","Segunda"
