Ensenyament no universitari. Principals característiques
Catalunya. 
Font: Idescat.
Unitats econòmiques: Milers d'euros.
"(..) Dada confidencial, amb baixa fiabilitat o no disponible."

Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=efde&n=8985
,Curs 2014-2015,Curs 2009-2010,Curs 2004-2005
Activitat,,,
Centres,,,
Nombre de centres religiosos,394,387,379
Nombre de centres lucratius,333,311,292
Nombre de centres no lucratius,108,117,131
Nombre total de centres,835,815,802
Unitats,,,
Nombre d'unitats concertades,14370,13972,12385
Nombre d'unitats no concertades,3524,3076,3663
Nombre total d'unitats,17895,17048,16048
Alumnes,,,
Alumnes d'educació infantil,85258,85000,77902
Alumnes d'educació primària,164816,154170,144657
Alumnes d'educació secundària obligatòria,113937,111846,108644
Alumnes de batxillerat,31214,31289,30852
Alumnes de formació professional bàsica,1531,..,..
Alumnes de cicles formatius de grau mig,13947,11634,9861
Alumnes de cicles formatius de grau superior,17380,13616,10968
Alumnes d'educació especial específica,4429,3936,3825
Alumnes d'educació d'adults específica,486,2368,888
Nombre total d'alumnes,432997,413859,387597
Usuaris de serveis complementaris i extraescolars,,,
Nombre d'usuaris del servei de menjador,171040,170716,154809
Nombre d'usuaris del servei de transport,12833,13746,17907
Nombre d'usuaris del servei de residència,478,685,661
Nombre d'usuaris del servei d'acollida,19223,..,..
Nombre d'usuaris d'activitats extraescolars,93321,85203,..
Personal,,,
Segons relació contractual,,,
Nombre de persones remunerades,45817,41532,39230
Nombre de persones no remunerades,236,223,598
Nombre total de personal,46053,41755,39828
Segons categoria professional,,,
Nombre total de personal docent,33953,32037,31422
Nombre de personal de serveis complementaris,5326,4595,..
Nombre d'altre personal del centre,6774,5123,8406
Nombre total de personal,46053,41755,39828
Percentatge de dones sobre el total de personal docent,72 %,71 %,..
Percentatge de dones sobre el total de personal de serveis complementaris,73 %,78 %,..
Percentatge de dones sobre el total d'altre personal del centre,69 %,71 %,..
Mitjana d'hores setmanals del personal docent,28,29,..
Despeses,,,
Despesa de personal,1554827,1498538,1148434
Despesa en béns i serveis,559121,465655,337801
Despesa en impostos,5758,7462,4530
Despeses corrents totals,2119705,1971654,1490766
Operacions de capital,128016,134255,49336
Salari estimat del personal no remunerat,2708,4677,7381
Ingressos,,,
Ingressos per quotes,1043928,844248,564156
Ingressos per concertació,1078293,1092166,855306
Ingressos per transferències públiques,41532,48515,..
"Ingressos per transferències corrents de particulars, empreses",16730,20586,..
Ingressos per transferències corrents d'AMPAS i ISFL,37515,62652,103200
Altres ingressos,21716,16013,21369
Ingressos corrents totals,2239714,2084180,1544031
Ingressos de capital,21264,5068,6502

