Municipio, Renta media 2015 
CATALUÑA," 27540  "
Barcelona," 28608  "
Matadepera," 48804  "
Sant Cugat del Vallès," 45901  "
Cabrils," 45035  "
Sant Vicenç de Montalt," 44627  "
Sant Just Desvern," 44577  "
Alella," 43633  "
Avinyonet del Penedès," 43031  "
Teià," 41088  "
Cabrera de Mar," 40844  "
Tiana," 38536  "
Sant Quirze del Vallès," 37754  "
Sant Andreu de Llavaneres," 37334  "
Gurb," 37369  "
Vallromanes," 37284  "
"L'Ametlla del Vallès"," 37214  "
Sitges," 36937  "
Premià de Dalt," 35598  "
Begues," 35528  "
Castelldefels," 34892  "
Barcelona," 32954  "
Vilassar de Mar," 32682  "
Caldes d'Estrac," 32519  "
Collbató," 32441  "
"El Masnou"," 32304  "
Vilassar de Dalt," 32248  "
Castellví de Rosanes," 31130  "
Sant Pol de Mar," 31069  "
"La Palma de Cervelló"," 30818  "
Esplugues de Llobregat," 30739  "
Corbera de Llobregat," 30616  "
Sant Joan Despí," 30420  "
Torrelles de Llobregat," 30224  "
Vilanova del Vallès," 29968  "
Sant Esteve Sesrovires," 29787  "
Viladecavalls," 29762  "
Sant Julià de Vilatorta," 29788  "
Pallejà," 29546  "
Sant Fruitós de Bages," 29535  "
"La Garriga"," 29261  "
Sant Antoni de Vilamajor," 29205  "
Cerdanyola del Vallès," 29185  "
Sant Iscle de Vallalta," 29212  "
Molins de Rei," 29038  "
Sant Esteve de Palautordera," 29000  "
Santa Coloma de Cervelló," 28811  "
Cervelló," 28777  "
Canovelles," 28738  "
"El Bruc"," 28709  "
Gavà," 28427  "
Argentona," 28355  "
Cardedeu," 28348  "
Ullastrell," 28091  "
Montgat," 28042  "
"La Roca del Vallès"," 27891  "
Sant Fost de Campsentelles," 27876  "
Premià de Mar," 27817  "
Bigues i Riells," 27728  "
Gualba," 27709  "
Sant Feliu de Llobregat," 27642  "
Olivella," 27554  "
Vallgorguina," 27525  "
Llinars del Vallès," 27504  "
Gelida," 27439  "
Palau-solità i Plegamans," 27410  "
Lliçà de Vall," 27412  "
Cubelles," 27393  "
Sant Sadurní Anoia," 27180  "
Castellar del Vallès," 27131  "
Castellnou de Bages," 27060  "
Caldes de Montbui," 27073  "
Sant Llorenç d'Hortons," 27011  "
"El Papiol"," 27014  "
Seva," 27012  "
Martorelles," 26958  "
Granollers," 26822  "
Castellbisbal," 26756  "
Abrera," 26705  "
Sant Pere de Vilamajor," 26663  "
Tona," 26634  "
Sant Pere de Ribes," 26525  "
Cànoves i Samalús," 26449  "
Folgueroles," 26481  "
Sant Climent de Llobregat," 26488  "
Arenys de Mar," 26434  "
Santpedor," 26428  "
Sant Vicenç de Torelló," 26336  "
Vallirana," 26277  "
Olèrdola," 26223  "
Sant Cebrià de Vallalta," 26234  "
Manresa," 26187  "
Parets del Vallès," 26215  "
Vilanova i la Geltrú," 26159  "
Aiguafreda," 26152  "
Súria," 26133  "
Santa Eulàlia de Ronçana," 26092  "
Santa Susanna," 26012  "
Taradell," 25953  "
Vic," 25837  "
Dosrius," 25877  "
Sabadell," 25846  "
Vacarisses," 25826  "
Martorell," 25819  "
Igualada," 25798  "
Fonollosa," 25776  "
"Els Hostalets de Pierola"," 25769  "
Canyelles," 25715  "
Vilafranca del Penedès," 25674  "
Lliçà d'Amunt," 25656  "
Esparreguera," 25672  "
Santa Maria de Palautordera," 25573  "
Vilobí del Penedès," 25453  "
Arenys de Munt," 25385  "
Santa Perpètua de Mogoda," 25218  "
"Les Franqueses del Vallès"," 25169  "
Santa Eulàlia de Riuprimer," 25155  "
Sant Celoni," 25149  "
Sant Andreu de la Barca," 25132  "
Figaró-Montmany," 24939  "
Torrelavit," 25076  "
Olesa de Montserrat," 25070  "
Castellterçol," 25051  "
Sentmenat," 24959  "
Terrassa," 24918  "
Sant Feliu de Codines," 24896  "
Canet de Mar," 24857  "
Moià," 24893  "
Sant Martí de Tous," 24877  "
"El Prat de Llobregat"," 24826  "
Rubí," 24730  "
Viladecans," 24738  "
L'Esquirol," 24768  "
Mollet del Vallès," 24661  "
Montcada i Reixac," 24618  "
Barberà del Vallès," 24618  "
Masquefa," 24526  "
Sant Pere de Riudebitlles," 24564  "
Montmeló," 24544  "
Olesa de Bonesvalls," 24481  "
Berga," 24428  "
Sant Salvador de Guardiola," 24391  "
Sant Boi de Llobregat," 24308  "
Capellades," 24287  "
Font-rubí," 24315  "
Subirats," 24175  "
Calldetenes," 24207  "
Sant Martí de Centelles," 24189  "
Sant Vicenç dels Horts," 24135  "
Polinyà," 24137  "
"La Granada"," 24124  "
Cardona," 24098  "
Callús," 24048  "
Sallent," 24064  "
"La Torre de Claramunt"," 23894  "
Manlleu," 23850  "
Badalona," 23860  "
Cornellà de Llobregat," 23805  "
Montornès del Vallès," 23782  "
Torelló," 23710  "
Castellgalí," 23624  "
Mataró," 23636  "
Ripollet," 23656  "
Sant Hipòlit de Voltregà," 23636  "
Cercs," 23622  "
Artés," 23557  "
Sant Martí Sarroca," 23515  "
Mediona," 23436  "
"Les Masies de Voltregà"," 23335  "
Calella," 23291  "
Avinyó," 23316  "
Santa Margarida i els Monjos," 23261  "
Vallbona d'Anoia," 23195  "
Navarcles," 23219  "
Centelles," 23192  "
"La Pobla de Claramunt"," 23156  "
Òdena," 23156  "
"L'Hospitalet de Llobregat"," 23092  "
Piera," 23079  "
Sant Adrià de Besòs," 23084  "
Castellbell i el Vilar," 23060  "
"El Pla del Penedès"," 22998  "
Sant Llorenç Savall," 22936  "
Casserres," 22966  "
Sant Joan de Vilatorrada," 22943  "
Bagà," 22959  "
Sant Vicenç de Castellet," 22902  "
Roda de Ter," 22909  "
Castellví de la Marca," 22878  "
Sant Quirze de Besora," 22816  "
Castellet i la Gornal," 22675  "
Monistrol de Montserrat," 22558  "
Balsareny," 22595  "
Calaf," 22537  "
Avià," 22538  "
Cabrera Anoia," 22468  "
Navàs," 22286  "
Palafolls," 22199  "
Fogars de la Selva," 22114  "
Malgrat de Mar," 22105  "
Tordera," 22026  "
"La Llagosta"," 21972  "
Santa Maria Oló," 21920  "
Olost," 21800  "
Sant Pere de Torelló," 21789  "
Sant Quintí de Mediona," 21716  "
Puig-reig," 21718  "
Gironella," 21649  "
Santa Eugènia de Berga," 21608  "
Pineda de Mar," 21575  "
Prats de Lluçanès," 21524  "
Balenyà," 21351  "
"El Pont de Vilomara i Rocafort"," 21057  "
Santa Coloma de Gramenet," 20987  "
"La Pobla de Lillet"," 20752  "
Torrelles de Foix," 20490  "
Badia del Vallès," 20340  "
Vilanova del Camí," 20343  "
Santa Margarida de Montbui," 19598  "
Girona," 24384  "
Fornells de la Selva," 33184  "
Peralada," 31032  "
Sant Gregori," 30374  "
Girona," 28837  "
Llers," 28763  "
Sant Joan les Fonts," 28011  "
Sant Julià de Ramis," 27303  "
Vilablareix," 27294  "
Santa Cristina d'Aro," 27037  "
Quart," 26804  "
Viladrau," 26763  "
Bordils," 26664  "
Forallac," 26189  "
"La Vall de Bianya"," 26226  "
Sant Joan de les Abadesses," 26117  "
"La Jonquera"," 24954  "
Pals," 25839  "
Riudellots de la Selva," 25938  "
Begur," 25772  "
Vilobí Onyar," 25727  "
Castell-Platja d'Aro," 25714  "
Alp," 25671  "
Navata," 25616  "
Riudarenes," 25616  "
Celrà," 25512  "
"Cruïlles, Monells i Sant Sadurní de l'Heura"," 25454  "
Banyoles," 25449  "
Calonge," 25359  "
Camprodon," 25381  "
Bescanó," 25210  "
Llívia," 25130  "
Avinyonet de Puigventós," 25196  "
Sant Feliu de Pallerols," 25139  "
"Les Preses"," 25106  "
"La Vall en Bas"," 25066  "
Porqueres," 24775  "
Cornellà del Terri," 24775  "
Portbou," 24597  "
Cassà de la Selva," 24516  "
Olot," 24416  "
Fontcoberta," 24409  "
Riells i Viabrea," 24269  "
Flaçà," 24256  "
Ripoll," 24214  "
Caldes de Malavella," 24203  "
Ribes de Freser," 24142  "
Amer," 23991  "
Besalú," 24003  "
Campdevànol," 23857  "
Vidreres," 23792  "
Figueres," 23543  "
Serinyà," 23476  "
Santa Coloma de Farners," 23468  "
Sarrià de Ter," 23393  "
Sant Julià del Llor i Bonmatí," 23352  "
Cadaqués," 23217  "
Palamós," 23159  "
Puigcerdà," 23108  "
Torroella de Montgrí," 22999  "
"L'Escala"," 22973  "
Vilafant," 22978  "
Palau-saverdera," 22854  "
Hostalric," 22921  "
Sils," 22928  "
Blanes," 22849  "
Santa Pau," 22784  "
Llançà," 22751  "
Mont-ras," 22754  "
Breda," 22693  "
Arbúcies," 22678  "
Vilajuïga," 22644  "
Corçà," 22508  "
Castellfollit de la Roca," 22493  "
Llagostera," 22481  "
Sant Feliu de Guíxols," 22389  "
"La Cellera de Ter"," 22397  "
Palafrugell," 22340  "
Castelló d'Empúries," 22279  "
Sant Pere Pescador," 22258  "
Anglès," 22197  "
Tossa de Mar," 22013  "
Vilamalla," 21821  "
Sant Hilari Sacalm," 21740  "
Lloret de Mar," 21720  "
Ullà," 21638  "
Roses," 21584  "
"La Bisbal d'Empordà"," 21540  "
Verges," 21364  "
Maçanet de la Selva," 21123  "
"Les Planes Hostoles"," 20463  "
Salt," 20164  "
Lleida," 23334  "
Alpicat," 30191  "
Torrefarrera," 26500  "
Lleida," 25327  "
"El Pont de Suert"," 25289  "
Benavent de Segrià," 24426  "
"La Pobla de Segur"," 24257  "
Mollerussa," 23809  "
Vielha e Mijaran," 23744  "
Montferrer i Castellbò," 23660  "
Bellver de Cerdanya," 23573  "
Bell-lloc Urgell," 23309  "
"La Seu d'Urgell"," 23297  "
"El Palau Anglesola"," 23329  "
Bossòst," 23299  "
Guissona," 23035  "
Cervera," 22995  "
Tàrrega," 22877  "
Tremp," 22750  "
Naut Aran," 22648  "
Golmés," 22600  "
Rosselló," 22501  "
Solsona," 22466  "
Bellpuig," 22137  "
Agramunt," 21876  "
Balaguer," 21791  "
"Les Borges Blanques"," 21770  "
Alcoletge," 21709  "
Sort," 21731  "
Juneda," 21634  "
Corbins," 21457  "
Almacelles," 21451  "
Vilanova de la Barca," 21435  "
Ponts," 21367  "
Alguaire," 21269  "
Vallfogona de Balaguer," 21276  "
Bellcaire Urgell," 21047  "
Sant Guim de Freixenet," 20967  "
Torà," 20999  "
Anglesola," 20932  "
Oliana," 20606  "
Albatàrrec," 20550  "
Albesa," 20429  "
Vilanova de Bellpuig," 20409  "
Castellserà," 20318  "
Ivars Urgell," 20270  "
Os de Balaguer," 20072  "
Bellvís," 19961  "
Almenar," 20000  "
Puigverd de Lleida," 19816  "
Soses," 19807  "
Alcarràs," 19705  "
Linyola," 19636  "
Térmens," 19402  "
Miralcamp," 19393  "
Artesa de Lleida," 19386  "
Artesa de Segre," 19297  "
Alfarràs," 19233  "
Aitona," 19119  "
"La Fuliola"," 19034  "
Seròs," 18843  "
Torregrossa," 18022  "
Torres de Segre," 17846  "
Isona i Conca Dellà," 17745  "
Arbeca," 17550  "
Tarragona," 24285  "
Castellvell del Camp," 32443  "
Altafulla," 32122  "
Almoster," 31749  "
Flix," 30750  "
Ascó," 30088  "
Vandellòs i l'Hospitalet de l'Infant," 29847  "
"Els Pallaresos"," 29604  "
"El Catllar"," 28726  "
"La Secuita"," 28424  "
Tarragona," 28370  "
Cambrils," 27482  "
Vinyols i els Arcs," 26818  "
Perafort," 26525  "
Riba-roja d'Ebre," 26104  "
Móra d'Ebre," 25881  "
Vallmoll," 25808  "
"El Morell"," 25362  "
Banyeres del Penedès," 24828  "
Torredembarra," 24699  "
Calafell," 24642  "
Vilallonga del Camp," 24434  "
Roda de Berà," 24355  "
Reus," 24323  "
Valls," 24303  "
"La Selva del Camp"," 24254  "
"La Riera de Gaià"," 24163  "
Salou," 24036  "
Sant Jaume dels Domenys," 24025  "
Montblanc," 23939  "
"El Vendrell"," 23825  "
Botarell," 23879  "
Puigpelat," 23781  "
Cunit," 23657  "
Mont-roig del Camp," 23678  "
Creixell," 23665  "
"Les Borges del Camp"," 23615  "
Móra la Nova," 23563  "
Alcover," 23019  "
Montbrió del Camp," 22991  "
"L'Arboç"," 22960  "
Vila-seca," 22839  "
"La Canonja"," 22636  "
"L'Ampolla"," 22547  "
Falset," 22596  "
Llorenç del Penedès," 22271  "
Tortosa," 22116  "
"La Pobla de Montornès"," 22099  "
Riudoms," 22046  "
"La Pobla de Mafumet"," 21989  "
Santa Coloma de Queralt," 21872  "
"El Pla de Santa Maria"," 21836  "
Riudecanyes," 21803  "
Cabra del Camp," 21765  "
Riudecols," 21757  "
Constantí," 21664  "
"L'Ametlla de Mar"," 21538  "
"L'Espluga de Francolí"," 21455  "
Sant Carles de la Ràpita," 21160  "
"El Montmell"," 21155  "
Bellvei," 21113  "
"La Bisbal del Penedès"," 21029  "
Santa Oliva," 20996  "
Alforja," 20912  "
Vila-rodona," 20731  "
Roquetes," 20574  "
Albinyana," 20441  "
Amposta," 20356  "
Sarral," 19939  "
Xerta," 19756  "
Gandesa," 19470  "
Masdenverge," 19102  "
Tivissa," 18675  "
Benissanet," 18426  "
Deltebre," 18340  "
Alcanar," 18296  "
Ulldecona," 18196  "
"La Sénia"," 17914  "
Santa Bàrbara," 17843  "
"L'Aldea"," 17658  "
Corbera Ebre," 17369  "
Sant Jaume Enveja," 16961  "
"La Fatarella"," 16889  "
Camarles," 16868  "
"El Perelló"," 16607  "
"El Pinell de Brai"," 16172  "
Horta de Sant Joan," 16085  "
Batea," 14964  "
