"Ensenyament no universitari. Centres, unitats i alumnes segons el concert i la titularitat"
Catalunya. Curs 2014-2015
Font: Idescat.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=efde&n=9011
,Centres,Unitats. Totals,Unitats. Concertades,Alumnes
Centres amb concertació,689,15958,14370,395114
Religiosos,383,10335,9412,261012
Laics no lucratius,77,1739,1479,39116
Laics lucratius,230,3884,3480,94986
Centres sense concertació,146,1937,0,37883
Religiosos,11,116,0,2019
Laics no lucratius,31,590,0,12060
Laics lucratius,104,1230,0,23803
Total,835,17895,14370,432997
Ensenyament no universitari. Personal dels centres segons el concert i la titularitat
Catalunya. Curs 2014-2015
Font: Idescat.
Institut d'Estadística de Catalunya
http://www.idescat.cat/pub/?id=efde&n=9011
,Total personal dels centres,Personal remunerat. Docent,Personal remunerat. Serv. Complement.,Personal remunerat. Altre,Personal no remunerat. Docent,Personal no remunerat. Serv. Complement.,Personal no remunerat. Altre
Centres amb concertació,40469,29873,4909,5479,38,104,65
Religiosos,25729,19305,2897,3323,38,101,63
Laics no lucratius,4792,3284,677,832,0,0,0
Laics lucratius,9948,7284,1335,1324,0,3,2
Centres sense concertació,5584,4025,310,1222,17,3,8
Religiosos,306,242,4,58,0,0,2
Laics no lucratius,1868,1340,75,445,3,0,5
Laics lucratius,3409,2442,230,719,14,3,1
Total,46053,33897,5219,6701,55,107,74

